link_id,from_node_id,to_node_id,from_cell_code,time_period,volume,background_volume,major_path_volume,ratio_of_major_path_flow,geometry,notes
201321AB,202585,202588,,0600_0900,7187.985,0.000,7187.985,1.000,"LINESTRING (-112.419523 33.638935, -112.419678 33.638828)",
201321AB,202585,202588,,1000_1500,10.634,0.000,10.634,1.000,"LINESTRING (-112.419523 33.638935, -112.419678 33.638828)",
201321AB,202585,202588,,1500_1800,5.970,0.000,5.970,1.000,"LINESTRING (-112.419523 33.638935, -112.419678 33.638828)",
201322AB,202586,202585,,0600_0900,7187.985,0.000,7187.985,1.000,"LINESTRING (-112.419381 33.639043, -112.419523 33.638935)",
201322AB,202586,202585,,1000_1500,10.634,0.000,10.634,1.000,"LINESTRING (-112.419381 33.639043, -112.419523 33.638935)",
201322AB,202586,202585,,1500_1800,5.970,0.000,5.970,1.000,"LINESTRING (-112.419381 33.639043, -112.419523 33.638935)",
201323AB,202599,202612,,0600_0900,4486.921,0.000,4486.921,1.000,"LINESTRING (-112.418247 33.636862, -112.418240 33.640639)",
201323AB,202599,202612,,1000_1500,1567.004,0.000,1567.004,1.000,"LINESTRING (-112.418247 33.636862, -112.418240 33.640639)",
201323AB,202599,202612,,1500_1800,879.736,0.000,879.736,1.000,"LINESTRING (-112.418247 33.636862, -112.418240 33.640639)",
201324AB,202607,202597,,0600_0900,3409.294,0.000,3409.294,1.000,"LINESTRING (-112.418467 33.640626, -112.418445 33.636825)",
201324AB,202607,202597,,1000_1500,1531.165,0.000,1531.165,1.000,"LINESTRING (-112.418467 33.640626, -112.418445 33.636825)",
201324AB,202607,202597,,1500_1800,859.616,0.000,859.616,1.000,"LINESTRING (-112.418467 33.640626, -112.418445 33.636825)",
201325AB,202602,202584,,0600_0900,1633.314,0.000,1633.314,1.000,"LINESTRING (-112.417136 33.638814, -112.418026 33.640486)",
201325AB,202602,202584,,1000_1500,9.384,0.000,9.384,1.000,"LINESTRING (-112.417136 33.638814, -112.418026 33.640486)",
201325AB,202602,202584,,1500_1800,5.269,0.000,5.269,1.000,"LINESTRING (-112.417136 33.638814, -112.418026 33.640486)",
201326AB,202599,202583,,0600_0900,2407.220,0.000,2407.220,1.000,"LINESTRING (-112.418247 33.636862, -112.417276 33.638481)",
201326AB,202599,202583,,1000_1500,114.822,0.000,114.822,1.000,"LINESTRING (-112.418247 33.636862, -112.417276 33.638481)",
201326AB,202599,202583,,1500_1800,64.463,0.000,64.463,1.000,"LINESTRING (-112.418247 33.636862, -112.417276 33.638481)",
201327AB,202587,202597,,0600_0900,3722.855,0.000,3722.855,1.000,"LINESTRING (-112.418616 33.636979, -112.418445 33.636825)",
201327AB,202587,202597,,1000_1500,110.300,0.000,110.300,1.000,"LINESTRING (-112.418616 33.636979, -112.418445 33.636825)",
201327AB,202587,202597,,1500_1800,61.924,0.000,61.924,1.000,"LINESTRING (-112.418616 33.636979, -112.418445 33.636825)",
201328AB,202582,202602,,0600_0900,2407.220,0.000,2407.220,1.000,"LINESTRING (-112.417192 33.638624, -112.417136 33.638814)",
201328AB,202582,202602,,1000_1500,114.822,0.000,114.822,1.000,"LINESTRING (-112.417192 33.638624, -112.417136 33.638814)",
201328AB,202582,202602,,1500_1800,64.463,0.000,64.463,1.000,"LINESTRING (-112.417192 33.638624, -112.417136 33.638814)",
201329AB,202583,202582,,0600_0900,2407.220,0.000,2407.220,1.000,"LINESTRING (-112.417276 33.638481, -112.417192 33.638624)",
201329AB,202583,202582,,1000_1500,114.822,0.000,114.822,1.000,"LINESTRING (-112.417276 33.638481, -112.417192 33.638624)",
201329AB,202583,202582,,1500_1800,64.463,0.000,64.463,1.000,"LINESTRING (-112.417276 33.638481, -112.417192 33.638624)",
201330AB,202584,202612,,0600_0900,1633.314,0.000,1633.314,1.000,"LINESTRING (-112.418026 33.640486, -112.418240 33.640639)",
201330AB,202584,202612,,1000_1500,9.384,0.000,9.384,1.000,"LINESTRING (-112.418026 33.640486, -112.418240 33.640639)",
201330AB,202584,202612,,1500_1800,5.269,0.000,5.269,1.000,"LINESTRING (-112.418026 33.640486, -112.418240 33.640639)",
201331AB,633,202743,,0600_0900,788.091,0.000,788.091,1.000,"LINESTRING (-112.402516 33.631364, -112.403268 33.624322)",
201331AB,633,202743,,1000_1500,36.284,0.000,36.284,1.000,"LINESTRING (-112.402516 33.631364, -112.403268 33.624322)",
201331AB,633,202743,,1500_1800,20.370,0.000,20.370,1.000,"LINESTRING (-112.402516 33.631364, -112.403268 33.624322)",
201331BA,202743,633,,0600_0900,1513.976,0.000,1513.976,1.000,"LINESTRING (-112.400080 33.623982, -112.399328 33.631024)",
201331BA,202743,633,,1000_1500,36.967,0.000,36.967,1.000,"LINESTRING (-112.400080 33.623982, -112.399328 33.631024)",
201331BA,202743,633,,1500_1800,20.754,0.000,20.754,1.000,"LINESTRING (-112.400080 33.623982, -112.399328 33.631024)",
201333AB,624,202730,,0600_0900,1048.154,0.000,1048.154,1.000,"LINESTRING (-112.399667 33.647404, -112.405863 33.639815)",
201333AB,624,202730,,1000_1500,15.592,0.000,15.592,1.000,"LINESTRING (-112.399667 33.647404, -112.405863 33.639815)",
201333AB,624,202730,,1500_1800,8.754,0.000,8.754,1.000,"LINESTRING (-112.399667 33.647404, -112.405863 33.639815)",
201333BA,202730,624,,0600_0900,893.923,0.000,893.923,1.000,"LINESTRING (-112.403379 33.637787, -112.397183 33.645376)",
201333BA,202730,624,,1000_1500,16.158,0.000,16.158,1.000,"LINESTRING (-112.403379 33.637787, -112.397183 33.645376)",
201333BA,202730,624,,1500_1800,9.071,0.000,9.071,1.000,"LINESTRING (-112.403379 33.637787, -112.397183 33.645376)",
201334AB,202730,202619,,0600_0900,851.869,0.000,851.869,1.000,"LINESTRING (-112.403096 33.639294, -112.405411 33.646462)",
201334AB,202730,202619,,1000_1500,21.181,0.000,21.181,1.000,"LINESTRING (-112.403096 33.639294, -112.405411 33.646462)",
201334AB,202730,202619,,1500_1800,11.891,0.000,11.891,1.000,"LINESTRING (-112.403096 33.639294, -112.405411 33.646462)",
201334BA,202619,202730,,0600_0900,920.668,0.000,920.668,1.000,"LINESTRING (-112.408461 33.645476, -112.406146 33.638308)",
201334BA,202619,202730,,1000_1500,20.430,0.000,20.430,1.000,"LINESTRING (-112.408461 33.645476, -112.406146 33.638308)",
201334BA,202619,202730,,1500_1800,11.470,0.000,11.470,1.000,"LINESTRING (-112.408461 33.645476, -112.406146 33.638308)",
201335AB,202604,202730,,0600_0900,10835.126,0.000,10835.126,1.000,"LINESTRING (-112.409418 33.637194, -112.404621 33.637198)",
201335AB,202604,202730,,1000_1500,52.682,0.000,52.682,1.000,"LINESTRING (-112.409418 33.637194, -112.404621 33.637198)",
201335AB,202604,202730,,1500_1800,29.577,0.000,29.577,1.000,"LINESTRING (-112.409418 33.637194, -112.404621 33.637198)",
201335BA,202730,202604,,0600_0900,11583.839,0.000,11583.839,1.000,"LINESTRING (-112.404621 33.640404, -112.409418 33.640400)",
